"id";"name_away_team";"away_team_score";"id_away_team";"id_local_team";"name_local_team";"local_team_score";"match_day";"round";"stadium";"status"
135;"Guadalajara";0;6;5;"FC Juárez";0;"2019-10-27 19:00:00";15;"Estadio Benito Juárez";""
136;"Querétaro";0;14;15;"Santos Laguna    ";0;"2019-10-29 19:00:00";16;"Estadio TSM Corona";""
137;"Puebla";0;12;19;"Veracruz";0;"2019-10-29 19:00:00";16;"Estadio Luis Pirata Fuente";""
138;"América";0;1;3;"Atlético San Luis";0;"2019-10-29 19:00:00";16;"Estadio Alfonso Lastras";""
139;"Atlas";0;2;13;"Pumas";0;"2019-10-29 21:00:00";16;"Estadio Olímpico Universitario";""
140;"Monterrey";0;8;11;"Pachuca";0;"2019-10-30 19:00:00";16;"Estadio Hidalgo";""
141;"Tijuana";0;16;6;"Guadalajara";0;"2019-10-30 21:00:00";16;"Estadio Akron";""
142;"Toluca";0;17;18;"UANL";0;"2019-10-30 21:00:00";16;"Estadio Universitario";""
143;"FC Juárez";0;5;9;"Morelia";0;"2019-10-31 19:00:00";16;"Estadio José Maria Morelos y Pavón";""
144;"Leon";0;7;4;"Cruz Azul";0;"2019-10-31 21:00:00";16;"Estadio Azteca";""
145;"Pumas";0;13;12;"Puebla";0;"2019-11-01 19:00:00";17;"Estadio Cuauhtémoc";""
146;"Atlético San Luis";0;3;2;"Atlas";0;"2019-11-01 21:00:00";17;"Estadio Jalisco";""
147;"UANL";0;18;14;"Querétaro";0;"2019-11-02 17:00:00";17;"Estadio La Corregidora";""
148;"Santos Laguna";0;15;1;"América";0;"2019-11-02 19:00:00";17;"Estadio Azteca";""
149;"Veracruz";0;19;8;"Monterrey";0;"2019-11-02 19:06:00";17;"Estadio BBVA";""
150;"Pachuca";0;11;10;"Necaxa";0;"2019-11-02 21:00:00";17;"Estadio Victoria";""
151;"Guadalajara";0;6;17;"Toluca";0;"2019-11-03 19:00:00";17;"Estadio Nemesio Diez";""
152;"Tijuana";0;16;5;"FC Juárez";0;"2019-11-03 19:00:00";17;"Estadio Benito Juárez";""
153;"Morelia";0;9;7;"Leon";0;"2019-11-03 20:00:00";17;"Estadio Nou Camp";""
154;"Puebla";0;12;9;"Morelia";0;"2019-11-08 19:00:00";18;"Estadio José Maria Morelos y Pavón";""
155;"América";0;1;19;"Veracruz";0;"2019-11-08 21:00:00";18;"Estadio Luis Pirata Fuente";""
156;"Monterrey";0;8;16;"Tijuana";0;"2019-11-08 21:06:00";18;"Estadio Caliente";""
157;"Necaxa";0;10;3;"Atlético San Luis";0;"2019-11-09 17:00:00";18;"Estadio Alfonso Lastras";""
158;"Pachuca";0;11;18;"UANL";0;"2019-11-09 19:00:00";18;"Estadio Universitario";""
159;"Querétaro";0;14;6;"Guadalajara";0;"2019-11-09 21:00:00";18;"Estadio Akron";""
160;"Toluca";0;17;7;"Leon";0;"2019-11-09 21:00:00";18;"Estadio Nou Camp";""
161;"FC Juárez";0;5;13;"Pumas";0;"2019-11-10 12:00:00";18;"Estadio Olímpico Universitario";""
162;"Cruz Azul";0;4;15;"Santos Laguna    ";0;"2019-11-10 18:45:00";18;"Estadio TSM Corona";""
163;"Necaxa";0;10;12;"Puebla";0;"2019-11-22 19:00:00";19;"Estadio Cuauhtémoc";""
164;"Leon";0;7;16;"Tijuana";0;"2019-11-22 21:06:00";19;"Estadio Caliente";""
165;"Morelia";0;9;14;"Querétaro";0;"2019-11-23 17:00:00";19;"Estadio La Corregidora";""
166;"Atlético San Luis";0;3;4;"Cruz Azul";0;"2019-11-23 19:00:00";19;"Estadio Azteca";""
167;"Atlas";0;2;8;"Monterrey";0;"2019-11-23 19:00:00";19;"Estadio BBVA";""
168;"Pumas";0;13;11;"Pachuca";0;"2019-11-23 21:00:00";19;"Estadio Hidalgo";""
169;"Veracruz";0;19;6;"Guadalajara";0;"2019-11-23 21:00:00";19;"Estadio Akron";""
170;"Santos Laguna";0;15;17;"Toluca";0;"2019-11-24 12:00:00";19;"Estadio Nemesio Diez";""
171;"UANL";0;18;5;"FC Juárez";0;"2019-11-24 19:00:00";19;"Estadio Benito Juárez";""
